ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,03/06/2021,ECONOMY DIRECTORATE,EVOLUTION AUTOMATIC DOORS LTD,03/06/2021,130,ELECTRICAL,V001673377
ROCHDALE BOROUGH COUNCIL,24/06/2021,PROPERTY AND HIGHWAYS,TASC LTD,24/06/2021,480,TRAINING,V001678974
ROCHDALE BOROUGH COUNCIL,24/06/2021,PROPERTY AND HIGHWAYS,TASC LTD,24/06/2021,-432.15,TRAINING,V001679328
ROCHDALE BOROUGH COUNCIL,24/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,TASC LTD,24/06/2021,2475,TRAINING-QUALIFICATION,V001679679
ROCHDALE BOROUGH COUNCIL,14/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,14/06/2021,38.02,PRINTING & STATIONERY,V001679698
ROCHDALE BOROUGH COUNCIL,07/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,07/06/2021,305.32,EQUIPMENT - GENERAL,V001679699
ROCHDALE BOROUGH COUNCIL,07/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,07/06/2021,64.95,EQUIPMENT - GENERAL,V001679699
ROCHDALE BOROUGH COUNCIL,14/06/2021,CHILDREN’S SOCIAL CARE,BEYOND PSYCHOLOGY LTD,14/06/2021,760,FEES / COMMISSION,V001683061
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,205,PRINTING,V001683283
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,90,PRINTING,V001683283
ROCHDALE BOROUGH COUNCIL,03/06/2021,ADULT CARE LCO FUNCTIONS,LANCASHIRE LOCK AND SAFE COMPANY LIMITED,03/06/2021,90,REPAIRS & ALTS OF BUILDINGS,V001688575
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,02/06/2021,11.95,EQUIPMENT - GENERAL,V001688869
ROCHDALE BOROUGH COUNCIL,07/06/2021,CHILDREN’S SOCIAL CARE,PANORAMIC ASSOCIATES LTD,07/06/2021,2375,AGENCY STAFF,V001688874
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,02/06/2021,3.69,ARTS & CRAFTS,V001689474
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,02/06/2021,0.5,ARTS & CRAFTS,V001689474
ROCHDALE BOROUGH COUNCIL,04/06/2021,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,04/06/2021,11928,OTHER LA`S - SEN PROVISION,V001690342
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,11/06/2021,199.96,EQUIPMENT - GENERAL,V001690498
ROCHDALE BOROUGH COUNCIL,11/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,11/06/2021,340.03,PRINTING & STATIONERY,V001690767
ROCHDALE BOROUGH COUNCIL,11/06/2021,CHILDREN’S SOCIAL CARE,PARADIGM PROFESSIONAL CONSULTANCY LTD,11/06/2021,1463.98,AGENCY STAFF,V001690789
ROCHDALE BOROUGH COUNCIL,10/06/2021,EARLY HELP AND SCHOOLS,ABC INDUSTRIAL DOORS LTD,10/06/2021,150.5,ELECTRICAL,V001692287
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,BAKER ROSS LTD,01/06/2021,93.75,EQUIPMENT - GENERAL,V001692638
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,07/06/2021,54,CONSUMABLES,V001692642
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,33.76,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,39,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,43.1,CLEANING MATERIALS,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,28.68,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,3.48,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,5.4,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,5.4,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,1.01,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,11.4,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,14.1,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,30.2,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,8.35,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,14.76,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,29.8,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,1.23,CONSUMABLES,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,3.59,CONSUMABLES,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,46,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,7.28,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,26.52,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,09/06/2021,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,09/06/2021,90,TRANSLATION & INTERPRETATION,V001694982
ROCHDALE BOROUGH COUNCIL,07/06/2021,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,07/06/2021,95.62,TRANSLATION & INTERPRETATION,V001695032
