"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"EA_DDMF","N/D","SCS1","Deputy Director Modelling and Forecasting","Lead the transition to a National Mapping and Modelling team, transferring staff from regional teams to deliver the new service. Lead and develop the team to deliver a range of mapping and modelling services to support Area Teams in managing flood risk locally. Services include coastal and river forecasting, modelling, mapping hydrology services and technical advice. Build and maintain strong relationships with Area Managers to ensure services meet local needs and are delivered in a timely manner with regular review. Work closely with Flood Forecasting to ensure timely information is used to provide accurate and up to date flood risk information to enable areas to respond effectively in order to manage flooding events with minimum disruption to people, property and business.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management - Incident Management - Modelling Forecasting","08708506506","enquiries@environment-agency.gov.uk","EA_DNSFCRM","3967636","1.00","0","0","","Operational Delivery","","1"
"EA_DDBSSPS","N/D","SCS1","Deputy Director Business Strategy and Sustainable Places and Systems","Lead and direct the Environment Agency's contribution to the spatial planning system and plan-led sustainable economic growth and development. Manage the key stakeholder relationships with senior counterparts in the Department for Communities and Local Government, Defra, Planning Inspectorate, Local Government Association and associated peer-leads in the Defra Agency family, business trade associations and other key account managers. Manage the Sustainable Places National Office team and additional staff associated with time-limited projects. Deliver the further evolution of Sustainable Places through improvement of internal processes, in particular customer-facing systems improvements, and support delivery in Operations with appropriate advice, guidance and tools. Maintain, improve and develop customer relationships with Operations - Area Managers, EPE Managers and Sustainable Places teams, and across Environment and Business and Flood and Coastal Risk Management Directorates.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - Business Strategy and Sustainable Places and Systems","08708506506","enquiries@environment-agency.gov.uk","EA_DSBD","2075380","1.00","0","0","","Operational Delivery","","1"
"EA_DDCP","N/D","SCS1","Deputy Director Chief Prosecutor","Identify and maximise strategic legal opportunities for the Environment Agency and help manage risks within the areas covered by their team in order to support achievement of the environmental outcomes in the business areas they support in the most effective and efficient way. Provide an intermediate escalation point on legal issues (below the Legal Director) for Executive Managers, to ensure issues are resolved accurately and promptly. Develop relationships at a management level within key external stakeholders (Government Legal Service, courts, CPS) in order to anticipate and resolve issues, and promote effective partnership working. Develop capability, resilience and succession planning within the team, in order to ensure required skills are available and a consistent service is provided. Lead other strategic projects within Legal Services (e.g. developing Technical Development Framework, consistent objectives based on the Corporate Strategy, systematise ‘business partnering’ within Legal Services etc) as allocated by the Legal Director from time to time.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","08708506506","enquiries@environment-agency.gov.uk","EA_DL","2182249","1.00","0","0","","Law","","1"
"EA_DDEN","N/D","SCS1","Deputy Director East Anglia","Lead people and the operational delivery of all aspects of Environment Agency business to ensure the efficient, coordinated and integrated delivery of all Environment Agency functions and to maximise environmental benefits with available resources.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - East Anglia","08708506506","enquiries@environment-agency.gov.uk","EA_DSE","18856123","1.00","0","0","","Operational Delivery","","1"
"EA_DDHSW","N/D","SCS1","Deputy Director Health, Safety and Wellbeing","Formulate Health, Safety and Wellbeing strategy and lead a national team to deliver policy, conduct audits and monitor exemplary practice across the Environment Agency to improve business performance and ensure legal compliance. To be a member of the Health, Safety and Environment Leadership Team and work in partnership with colleagues leading the implementation of national initiatives to improve the health, safety and wellbeing of people.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Resources - Corporate Assets, Safety, Health, Environment and Wellbeing - Health Safety and Wellbeing","08708506506","enquiries@environment-agency.gov.uk","EA_DCASHEW","1024198","1.00","0","0","","Human Resources","","1"
"EA_DDFS","N/D","SCS1","Deputy Director Field Services","Lead in the delivery of an effective and customer focused service to area Field Services teams. This includes implementing efficiency projects and improving the effectiveness of the Field Services area teams.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management - Field Services","08708506506","enquiries@environment-agency.gov.uk","EA_DNSFCRM","766844","1.00","0","0","","Science and Engineering","","1"
"EA_DO","Paul Woodcock","SCS2","Director Operations","To provide strategic leadership and direction to (the) key national operational services/service units, ensuring they are aligned to and collectively reflect the priorities of the Corporate Strategy, driving continuous improvement in the way business operates.  Providing a strategic focus for quality assurance, performance monitoring and assessment and operational efficiency programmes.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations","08708506506","enquiries@environment-agency.gov.uk","EA_EDO","63379","0.41","105000","109999","","Operational Delivery","","1"
"EA_DDLNA","N/D","SCS1","Deputy Director Lincolnshire and Northamptonshire","Lead people and the operational delivery of all aspects of Environment Agency business to ensure the efficient, coordinated and integrated delivery of all Environment Agency functions and to maximise environmental benefits with available resources.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Lincolnshire and Northamptonshire","08708506506","enquiries@environment-agency.gov.uk","EA_DWC","9771709","1.00","0","0","","Science and Engineering","","1"
"EA_DDYOR","N/D","SCS1","Deputy Director Yorkshire","Lead people and the operational delivery of all aspects of Environment Agency business to ensure the efficient, coordinated and integrated delivery of all Environment Agency functions and to maximise environmental benefits with available resources.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Yorkshire","08708506506","enquiries@environment-agency.gov.uk","EA_DN","16950476","1.00","0","0","","Science and Engineering","","1"
"EA_DDIDA","N/D","SCS1","Deputy Director Investment and Delivery Assurance","Manage and lead a team delivering the ongoing development of programme assurance to ensure investment decisions are robustly appraised, innovation embraced and shared, risks are managed and value for money is achieved. The management of flood risk is one of the Environment Agency's highest and most visible priorities and delivery of improved protection of property, environmental and efficiency outcomes is dependent on effective assurance of the capital programme. Assurance leadership will cover the Environment Agency's role in supporting and reviewing other risk management authorities contribution towards the captial programme. Lead on the relationship with Operations Directorate and the National Capital Programme Management service in particular to ensure technical standards are applied to project delivery.","Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Allocation and Asset Management - Investment Delivery and Assurance","08708506506","enquiries@environment-agency.gov.uk","EA_DAAM","240764","1.00","0","0","","Science and Engineering","","1"
