"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1058631","N/D","OF-6","Assistant Chief of Staff Intelligence (J2)","Responsible for Operational Intelligence.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1708116","0","1.00","N/A","N/A","","Military","","1"
"1058635","N/D","OF-6","Assistant Chief of Staff Operations (J3)","Responsible for Current Operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1708116","0","1.00","N/A","N/A","","Military","","1"
"1058645","N/D","OF-6","Assistant Chief of Staff Policy & Plans (J5)","Responsible for Crisis and Deliberate Planning in PJHQ","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1708116","0","1.00","N/A","N/A","","Military","","1"
"1058650","N/D","OF-6","Chief of Joint Force Operations","Extremely High Readiness deployable operational-level Commander for assigned joint force elements for Simple and Complex operations. Preparing (including training and exercising) and delivering JFHQ at extremely high readiness or higher, in order to support UK Defence’s response to crises worldwide. OPCON of JTFHQ supporting elements (communications, FP, J2, Life Support). Commanded through COS(Ops) to CJO when deployed on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1904876","0","1.00","N/A","N/A","","Military","","1"
"1058663","N/D","OF-6","Commander Joint Force Logistics Component","Head of deployable Logistics component","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1904876","0","1.00","N/A","N/A","","Military","","1"
"1063002","N/D","OF-6","Assistant Commandant Air JSCSC","Deputy Head of the Joint Services Command and Staff College and responsible for Air Force Training within the College.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1062997","0","1.00","N/A","N/A","","Military","","1"
"1117089","N/D","OF-6","Assistant Commandant Maritime JSCSC","Responsible for Navy Training within the College & Advanced Command and Staff Course","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1062997","0","1.00","N/A","N/A","","Military","","1"
"1119832","N/D","OF-6","Commander British Forces Gibraltar","Commander British Forces Gibraltar","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1612403","0","1.00","N/A","N/A","","Military","","1"
"1239811","N/D","OF-6","Assistant Commandant Land JSCSC","Responsible for Army Training within the College.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1062997","0","1.00","N/A","N/A","","Military","","1"
"1477107","N/D","OF-6","Commander Joint Air Land Organisation","Responsible for the development and maintenance of Air/Land and Air/Maritime Integration and support to associated initiatives to provide coherence across Defence.  Joint User for the Forward Air Controller capability, including responsibility for policy, training and regulation, as a means of providing the forces required to meet current contingent and emerging threats.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1688878","0","1.00","N/A","N/A","","Military","","1"
