"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"POSN003010","N/D","SCS1","Deputy Director","Deputy Director, Finance Business Partnering","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance Business Partnering","020 7211 6000","enquiries@culture.gov.uk","POSN002673","797928","1.00","N/A","N/A","","","","1"
"POSN002898","N/D","SCS1","Deputy Director","Deputy Director, Digital Identity","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital Identity","020 7211 6000","enquiries@culture.gov.uk","POSN000756","1283392","1.00","N/A","N/A","","","","1"
"POSN002980","N/D","SCS1","Deputy Director","Deputy Director, Centre for Data Ethics and Innovation","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Centre for Data Ethics and Innovation","020 7211 6000","enquiries@culture.gov.uk","POSN000756","877316","1.00","N/A","N/A","","","","1"
"POSN002865","N/D","SCS1","Deputy Director","Deputy Director, International Data Unit","Department for Culture, Media and Sport","Department for Culture, Media and Sport","International Data Unit","020 7211 6000","enquiries@culture.gov.uk","POSN000756","1211542","1.00","N/A","N/A","","","","1"
"POSN002840","N/D","SCS1","Deputy Director","Deputy Director, Data Policy, Governance and Strategy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Data Policy, Governance and Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN000756","1288809","1.00","N/A","N/A","","","","1"
"POSN002920","Sam Lister","SCS3","Director General","Director General, Performance and Strategy Group","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Performance and Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN000001","1563079","1.00","130000","134999","","","","1"
"POSN002819","N/D","SCS1","Deputy Director","Deputy Director, EU and International","Department for Culture, Media and Sport","Department for Culture, Media and Sport","EU and International","020 7211 6000","enquiries@culture.gov.uk","POSN001138","636787","1.00","N/A","N/A","","","","1"
"POSN002673","Jacinda Humphry","SCS2","Director","Director, Finance and Commercial","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance and Commercial","020 7211 6000","enquiries@culture.gov.uk","POSN000001","526026","1.00","105000","109999","","","","1"
"POSN002809","Gila Sacks","SCS2","Director","Director, Digital and Technology Policy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital and Technology Policy","020 7211 6000","enquiries@culture.gov.uk","POSN002404","474068","1.00","90000","94999","","","","1"
"POSN002404","Susannah Storey","SCS3","Director General","Director General, Digital and Media Group","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital and Media","020 7211 6000","enquiries@culture.gov.uk","POSN000001","1631056","0.80","130000","134999","","","Equivalent annual full time salary is £130,000 - £134,999","1"
"POSN002607","Nico Heslop","SCS2","Director","Director, Spending Review","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Spending Review","020 7211 6000","enquiries@culture.gov.uk","POSN002920","373765","1.00","90000","94999","","","","1"
"POSN002402","N/D","SCS1","Deputy Director","Deputy Director, Arts, Libraries and Digital Culture","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Arts, Libraries and Digital Culture","020 7211 6000","enquiries@culture.gov.uk","POSN000054","1112690","1.00","N/A","N/A","","","","1"
"POSN002734","N/D","SCS1","Deputy Director","Deputy Director, BDUK Operations Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","BDUK Operations Team","020 7211 6000","enquiries@culture.gov.uk","POSN002641","1099478","1.00","N/A","N/A","","","","1"
"POSN002684","N/D","SCS1","Deputy Director","Deputy Director, BDUK Delivery Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","BDUK Delivery Team","020 7211 6000","enquiries@culture.gov.uk","POSN002641","1655033","1.00","N/A","N/A","","","","1"
"POSN002641","Raj Kalia","SCS2","Director","BDUK CEO","Department for Culture, Media and Sport","Department for Culture, Media and Sport","BDUK CEO","020 7211 6000","enquiries@culture.gov.uk","POSN002404","N/D","1.00","145000","149999","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN002369","N/D","SCS1","Deputy Director","Deputy Director, Finance and Commercial","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance and Commercial","020 7211 6000","enquiries@culture.gov.uk","POSN002673","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN002424","N/D","SCS1","Deputy Director","Deputy Director, Estates and Security","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Estates and Security","020 7211 6000","enquiries@culture.gov.uk","POSN000148","271649","1.00","N/A","N/A","","","","1"
"POSN002728","N/D","SCS1","Deputy Director","Deputy Director, Online Harms","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Online Harms","020 7211 6000","enquiries@culture.gov.uk","POSN001282","1839622","1.00","N/A","N/A","","","","1"
"POSN002409","Andrea Young","SCS2","Director","Director for Senior Leadership","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Performance and Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN002920","N/D","0.40","95000","99999","","","Team too small to report salary costs, combined with post of reporting manager. Equivalent annual full time salary is £95,000 - £99,999","1"
"POSN002365","N/D","SCS1","Deputy Director","Deputy Director, Cyber Security","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Cyber Security","020 7211 6000","enquiries@culture.gov.uk","POSN000756","1427385","1.00","N/A","N/A","","","","1"
"POSN002309","N/D","SCS1","Deputy Director","Deputy Director, Telecoms Resilience and Security","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Telecoms Resilience and Security","020 7211 6000","enquiries@culture.gov.uk","POSN000922","546011","1.00","N/A","N/A","","","","1"
"POSN002263","N/D","SCS1","Deputy Director","Deputy Director, Finance Business Partnering","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance Business Partnering","020 7211 6000","enquiries@culture.gov.uk","POSN002673","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN002240","N/D","SCS1","Deputy Director","Deputy Director, Spending Review","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Spending Review","020 7211 6000","enquiries@culture.gov.uk","POSN002607","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN002145","N/D","SCS1","Deputy Director","Deputy Director, Festival 2022","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Festival 2022","020 7211 6000","enquiries@culture.gov.uk","POSN000054","545604","1.00","N/A","N/A","","","","1"
"POSN002105","N/D","SCS1","Deputy Director","Deputy Director, Digital Skills and Inclusion Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital Skills and Inclusion Team","020 7211 6000","enquiries@culture.gov.uk","POSN002809","865145","1.00","N/A","N/A","","","","1"
"POSN002070","Benjamin Dean","SCS2","Director","Director, Sport and Gambling","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Sport and Gambling","020 7211 6000","enquiries@culture.gov.uk","POSN002920","N/D","1.00","90000","94999","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN001960","N/D","SCS1","Deputy Director","Deputy Director, Trade and Digital Negotiations","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Trade and Digital Negotiations","020 7211 6000","enquiries@culture.gov.uk","POSN001138","620206","0.40","N/A","N/A","","","","1"
"POSN001927","N/D","SCS1","Deputy Director","Deputy Director, Digital Regulation and Markets","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital Regulation and Markets","020 7211 6000","enquiries@culture.gov.uk","POSN002809","722577","0.60","N/A","N/A","","","Job share","1"
"POSN001586","N/D","SCS1","Deputy Director","Deputy Director, Sport","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Sport","020 7211 6000","enquiries@culture.gov.uk","POSN002070","711804","1.00","N/A","N/A","","","","1"
"POSN000061","N/D","SCS1","Deputy Director","Deputy Director, Government Art Collection","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Art Collection","020 7211 6000","enquiries@culture.gov.uk","POSN000054","507136","1.00","N/A","N/A","","","","1"
"POSN001766","N/D","SCS1","Deputy Director","Deputy Director, Festival 2022","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Festival 2022","020 7211 6000","enquiries@culture.gov.uk","POSN000054","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN000012","Dean Creamer","SCS2","Director","Director, Commonwealth Games and Blythe House","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Blythe House","020 7211 6000","enquiries@culture.gov.uk","POSN002920","404653","1.00","90000","94999","","","","1"
"POSN000192","Timothy Sparrow","SCS2","Director","Director, Finance and Commercial","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance and Commercial","020 7211 6000","enquiries@culture.gov.uk","POSN000001","N/D","1.00","90000","94999","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN001326","N/D","SCS1","Deputy Director","Deputy Director, Security and International","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Security and International","020 7211 6000","enquiries@culture.gov.uk","POSN001282","518382","1.00","N/A","N/A","","","","1"
"POSN001138","Graham Floater","SCS2","Director","Director, EU and International","Department for Culture, Media and Sport","Department for Culture, Media and Sport","EU and International","020 7211 6000","enquiries@culture.gov.uk","POSN002404","310490","1.00","120000","124999","","","","1"
"POSN000688","N/D","SCS1","Deputy Director","Deputy Director, Central Analysis Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Central Analysis Team","020 7211 6000","enquiries@culture.gov.uk","POSN000652","1610587","1.00","N/A","N/A","","","","1"
"POSN000149","N/D","SCS1","Deputy Director","Deputy Director, People and Workplace Change Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","People and Workplace Change Team","020 7211 6000","enquiries@culture.gov.uk","POSN000148","413935","1.00","N/A","N/A","","","","1"
"POSN000516","N/D","SCS1","Deputy Director","Deputy Director, Commonwealth Games","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Commonwealth Games","020 7211 6000","enquiries@culture.gov.uk","POSN000012","849785","1.00","N/A","N/A","","","","1"
"POSN000373","N/D","SCS1","Deputy Director","Deputy Director, Youth and Social Action Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Youth and Social Action Team","020 7211 6000","enquiries@culture.gov.uk","POSN000368","1740770","0.90","N/A","N/A","","","Job share","1"
"POSN000226","N/D","SCS1","Deputy Director","Deputy Director, FACT","Department for Culture, Media and Sport","Department for Culture, Media and Sport","FACT","020 7211 6000","enquiries@culture.gov.uk","POSN002673","506066","1.00","N/A","N/A","","","","1"
"POSN000273","N/D","SCS1","Deputy Director","Deputy Director, News and Communications","Department for Culture, Media and Sport","Department for Culture, Media and Sport","News and Communications","020 7211 6000","enquiries@culture.gov.uk","POSN002920","1555299","1.00","N/A","N/A","","","","1"
"POSN000148","Debra Lang","SCS2","Director","Director, People and Workplace","Department for Culture, Media and Sport","Department for Culture, Media and Sport","People and Workplace","020 7211 6000","enquiries@culture.gov.uk","POSN002920","303424","1.00","90000","94999","","","","1"
"POSN000159","N/D","SCS1","Deputy Director","Deputy Director, People and Workplace Delivery","Department for Culture, Media and Sport","Department for Culture, Media and Sport","People and Workplace Delivery","020 7211 6000","enquiries@culture.gov.uk","POSN000148","998030","1.00","N/A","N/A","","","","1"
"POSN001327","N/D","SCS1","Deputy Director","Deputy Director, Gambling and Lotteries","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling and Lotteries","020 7211 6000","enquiries@culture.gov.uk","POSN002070","745537","1.00","N/A","N/A","","","","1"
"POSN000735","N/D","SCS1","Deputy Director","Deputy Director, Ceremonials","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Ceremonials","020 7211 6000","enquiries@culture.gov.uk","POSN000652","265406","1.00","N/A","N/A","","","","1"
"POSN001271","N/D","SCS1","Deputy Director","Chief Economist","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Screen, International & Skills (SIS)","020 7211 6000","enquiries@culture.gov.uk","POSN001209","537945","1.00","N/A","N/A","","","","1"
"POSN001283","N/D","SCS1","Deputy Director","Deputy Director, Online Harms","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Online Harms","020 7211 6000","enquiries@culture.gov.uk","POSN001282","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN000084","N/D","SCS1","Deputy Director","Deputy Director, Heritage and Tourism","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Heritage and Tourism","020 7211 6000","enquiries@culture.gov.uk","POSN000054","1110654","1.00","N/A","N/A","","","","1"
"POSN001282","Sarah Connolly","SCS2","Director","Director, Security and Online Harms","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Security and Online Harms","020 7211 6000","enquiries@culture.gov.uk","POSN002404","422909","1.00","90000","94999","","","","1"
